year,location_name,cause_name,number_of_deaths,percent_of_deaths
2017,Malaysia,Stroke,20522.16195,0.123187926
2018,Global,Cardiovascular diseases,18522266.2,0.328461502
2018,Global,Diabetes mellitus,1533639.738,0.027197711
2018,Global,Non-communicable diseases,41676335.83,0.739049614
2018,Global,Stroke,6905838.48,0.122452556
2018,Malaysia,Cardiovascular diseases,60389.97907,0.354080864
2018,Malaysia,Diabetes mellitus,4567.547177,0.02678048
2018,Malaysia,Non-communicable diseases,128235.124,0.751870688
2018,Malaysia,Stroke,21021.61928,0.123254405
2019,Global,Cardiovascular diseases,18870288.97,0.331215885
2019,Global,Diabetes mellitus,1590099.883,0.027911065
2019,Global,Non-communicable diseases,42539087.98,0.746630456
2019,Global,Stroke,7033585.363,0.123442499
2019,Malaysia,Cardiovascular diseases,61989.85395,0.353857669
2019,Malaysia,Diabetes mellitus,4763.320977,0.027190562
2019,Malaysia,Non-communicable diseases,132266.3918,0.755017674
2019,Malaysia,Stroke,21563.88232,0.123093683
2020,Global,Cardiovascular diseases,19145788.01,0.303321285
2020,Global,Diabetes mellitus,1625602.222,0.025755375
2020,Global,Non-communicable diseases,43121377.77,0.683153642
2020,Global,Stroke,7145972.306,0.113198844
2020,Malaysia,Cardiovascular diseases,57883.32584,0.356019348
2020,Malaysia,Diabetes mellitus,4533.605611,0.02788398
2020,Malaysia,Non-communicable diseases,124153.1244,0.763621859
2020,Malaysia,Stroke,20110.26314,0.123691299
2021,Global,Cardiovascular diseases,19414853.09,0.286055957
2021,Global,Diabetes mellitus,1656634.526,0.02440971
2021,Global,Non-communicable diseases,43768181.66,0.644868491
2021,Global,Stroke,7252675.541,0.106846992
2021,Malaysia,Cardiovascular diseases,66778.94148,0.29777151
2021,Malaysia,Diabetes mellitus,5203.414705,0.023202451
2021,Malaysia,Non-communicable diseases,142271.7996,0.634382723
2021,Malaysia,Stroke,23245.51054,0.103651665
